iter	MultiClass
0	0.9132030618
1	0.7741773275
2	0.6663135434
3	0.5770041876
4	0.5035577991
5	0.4420649658
6	0.3896401005
7	0.3454690813
8	0.3071488534
9	0.273676874
10	0.2441422644
11	0.218221702
12	0.1959011286
13	0.1758371298
14	0.1583596884
15	0.142607613
16	0.1284088553
17	0.1156381465
18	0.1042653801
19	0.09402245022
20	0.08514766265
21	0.07723438316
22	0.06986027545
23	0.06317210543
24	0.05771897051
25	0.05232008585
26	0.04751674448
27	0.04325704818
28	0.03950606921
29	0.0361687394
30	0.03314626236
31	0.03044139026
32	0.02767400531
33	0.02522900131
34	0.02309261561
35	0.02103682209
36	0.01937829117
37	0.01767935758
38	0.01627180861
39	0.01486950689
40	0.01369749666
41	0.01259678145
42	0.01158578308
43	0.01062647238
44	0.009797964833
45	0.009088497036
46	0.008362178715
47	0.007855915744
48	0.00727683906
49	0.006878651746
50	0.006393360493
51	0.005920422371
52	0.005547781504
53	0.005175494231
54	0.004882904463
55	0.004567661077
56	0.004303006681
57	0.004104445634
58	0.003828457132
59	0.003660954036
60	0.003492820708
61	0.003331870972
62	0.003144509069
63	0.003005791658
64	0.002828386527
65	0.002682111656
66	0.002544738559
67	0.002437170316
68	0.002333461438
69	0.00224428414
70	0.002155558253
71	0.002058931209
72	0.001966872786
73	0.001903596234
74	0.001843436342
75	0.001782700835
76	0.001731884572
77	0.001663034254
78	0.001597314404
79	0.001537493321
80	0.001492569018
81	0.001453802294
82	0.001413350769
83	0.001381715034
84	0.001342616294
85	0.00130587667
86	0.001275294621
87	0.001239959058
88	0.001207813267
89	0.001180991145
90	0.001150831187
91	0.001127932325
92	0.001105361557
93	0.001078457492
94	0.00105379012
95	0.001033765299
96	0.001015451984
97	0.0009962915542
98	0.0009743722011
99	0.0009567767614
100	0.000940416698
101	0.0009242927471
102	0.0009050865798
103	0.0008900749322
104	0.0008731682535
105	0.0008593491779
106	0.0008479937448
107	0.000835105394
108	0.0008242026833
109	0.0008124883166
110	0.000800549581
111	0.000789392119
112	0.0007777005585
113	0.0007628428202
114	0.0007525160269
115	0.0007420946794
116	0.0007321138936
117	0.0007225304081
118	0.0007137688595
119	0.0007044983301
120	0.00069685939
121	0.0006883678482
122	0.0006811060755
123	0.0006733696642
124	0.0006653773542
125	0.0006583959978
126	0.0006507512204
127	0.0006404169746
128	0.0006335178555
129	0.0006268495835
130	0.0006200455033
131	0.0006110105266
132	0.0006017714431
133	0.0005952746824
134	0.0005891630852
135	0.0005827494712
136	0.0005768233971
137	0.0005709515365
138	0.0005653772396
139	0.0005553176147
140	0.0005502168212
141	0.0005450526424
142	0.0005397707538
143	0.0005346692878
144	0.0005275937739
145	0.0005222723522
146	0.0005176292553
147	0.0005125954117
148	0.0005080605845
149	0.000503314486
150	0.0004987480457
151	0.0004941575554
152	0.0004897054629
153	0.00048532646
154	0.0004797595537
155	0.0004759949914
156	0.00047084417
157	0.0004662851614
158	0.000462504527
159	0.0004585215678
160	0.0004545637934
161	0.0004499265019
162	0.0004441930467
163	0.000440153881
164	0.0004366007518
165	0.0004333731615
166	0.0004305595473
167	0.0004274823984
168	0.000424378319
169	0.0004216970745
170	0.0004184448982
171	0.0004151680801
172	0.0004121726704
173	0.0004082059604
174	0.0004051880785
175	0.0004013767679
176	0.0003984564913
177	0.0003957601765
178	0.000392959622
179	0.0003904123998
180	0.0003876915543
181	0.000385091786
182	0.0003824334906
183	0.0003794736549
184	0.0003763083523
185	0.0003736875914
186	0.0003705268269
187	0.0003682223704
188	0.0003657365326
189	0.0003637706531
190	0.0003611422607
191	0.0003583028695
192	0.0003553586894
